Nombre;Autor;Fecha;Categoría
El futuro de la IA;Juan Pérez;2024-01-15;Tecnología
Perdidos en el tiempo;Sara González;2024-02-07;Ciencia Ficción
Economía Moderna;David Fernández;2024-03-12;Economía
Exploradores del Espacio Profundo;Emilia García;2024-04-05;Ciencia Ficción
Inteligencia Artifical en la Medicina;Luisa Blanco;2024-05-18;Medicina
La Última Frontera;Miguel Verde;2024-06-21;Aventura
Vivir Sostenible;Amanda Martínez;2024-07-14;Ecología
El Mundo Cuántico;Cristóbal López;2024-08-19;Física
Privacidad Digital y Tú;Rebeca Martín;2024-09-10;Seguridad Informática
Realidad Virtual: Una Nueva Era;Antonio Rodríguez;2024-10-25;Tecnología